StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q75,Q74,Q35_1,Q35_5,Q35_2,Q35_4,Q35_3,Q35_8,Q35_9,Q35_10,Q76_1,Q77_2,Q78_3,Q83_4,Q82_5,Q80_6,Q81_9,Q79_7,Q46_5,Q47_1,Q48_1,Q49_1,Q53,Q8,Q58_1,Q58_2,Q58_3,Q12,Q13
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Which of the following CORE classes did you take this year? Select all that apply.,Which of the following ELECTIVE classes did you take this year? Select all that apply.,"Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you?
(Must drag EACH course into the order desired.) - ACC 6060 Professionalism and Leadership","Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you?
(Must drag EACH course into the order desired.) - ACC 6300 Data Analytics","Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you?
(Must drag EACH course into the order desired.) - ACC 6400 Advanced Tax Business Entities","Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you?
(Must drag EACH course into the order desired.) - ACC 6510 Financial Audit","Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you?
(Must drag EACH course into the order desired.) - ACC 6540 Professional Ethics","Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you?
(Must drag EACH course into the order desired.) - ACC 6560 Financial Theory & Research I","Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you?
(Must drag EACH course into the order desired.) - ACC 6350 Management Control Systems","Please place each MAcc CORE course into rank order based on which were the most and least beneficial to you?
(Must drag EACH course into the order desired.) - ACC 6600 Business Law for Accountants",Rate ACC 6020 Advanced Financial Application on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6020 Advanced Financial Application,Rate ACC 6140 Fraud Examination & Forensic Accounting on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6140 Fraud Examination & Forensic Accounting,Rate ACC 6150 Information Systems Audit on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6150 Information Systems Audit,Rate ACC 6250 Financial Reporting and Analysis on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6250 Financial Reporting and Analysis,Rate ACC 6350 Management Control Systems (if not taken as core) - on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6350 Mgmt Control Sys (if taken as an elective),Rate ACC 6410 Tax Research & Procedure on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6410 Tax Research & Procedure,Rate ACC 6600 Business Law for Accountants (if not taken as core) - on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 6600 Business Law for Accountants (if taken as an elective),Rate ACC 679R Taxation of Business Entities II on a scale from 1-5 (1 being least least beneficial and 5 being more beneficial). - ACC 679R Taxation of Business Entities II,"During the academic semesters of your MAcc program, how many hours did you spend completing coursework outside of class for an AVERAGE week? - Hours per week","During the academic semesters of your MAcc program, how many hours did you spend completing coursework outside of class for the BUSIEST week? - Hours per week","During the academic semesters of your MAcc program, how many hours did you spend completing coursework outside of class for the LEAST BUSY week? - Hours per week","How many hours do you think a MAcc student SHOULD BE EXPECTED to spend completing coursework outside of class, on average? - Hours per week",Do you feel that the UVU MAcc program was worth the money you spent?,Are you planning on obtaining your CPA license?,"Please indicate the extent you agree with this statement.



The UVU MAcc helped me to prepare to sit for the following core CPA exams: - FAR","Please indicate the extent you agree with this statement.



The UVU MAcc helped me to prepare to sit for the following core CPA exams: - Audit","Please indicate the extent you agree with this statement.



The UVU MAcc helped me to prepare to sit for the following core CPA exams: - Reg",Have you taken any of the core CPA exams? (You may select more than one),Which of the core CPA exams have you passed? (You may select more than one)
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID124""}","{""ImportId"":""QID123""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID84_2""}","{""ImportId"":""QID84_3""}","{""ImportId"":""QID84_4""}","{""ImportId"":""QID84_5""}","{""ImportId"":""QID84_6""}","{""ImportId"":""QID84_7""}","{""ImportId"":""QID84_8""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID126_2""}","{""ImportId"":""QID127_3""}","{""ImportId"":""QID132_4""}","{""ImportId"":""QID131_5""}","{""ImportId"":""QID129_6""}","{""ImportId"":""QID130_9""}","{""ImportId"":""QID128_7""}","{""ImportId"":""QID95_5""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID102""}","{""ImportId"":""QID26""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID107_2""}","{""ImportId"":""QID107_3""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}"
2024-04-22 13:01:28,2024-04-22 13:06:00,100,271,True,2024-04-22 13:06:00,R_5VyCdTtXafsDipw,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6020 Advanced Financial Application,ACC 6150 Information Systems Auditing,ACC 6350 Management Control System (if not taken as core)",4,5,2,1,7,3,6,8,5,,3,,2,,,,10,9,11,8,,Yes,Neither disagree or agree,Neither disagree or agree,Neither disagree or agree,"FAR,Audit,Regulation","FAR,Audit,Regulation"
2024-04-22 15:45:51,2024-04-22 16:09:41,100,1430,True,2024-04-22 16:09:42,R_3nWaNSTFwLCc1lq,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites",ACC 6150 Information Systems Auditing,1,4,5,6,3,7,8,2,,,4,,,,,,12,15,8,13,No,Maybe,Strongly Disagree,Strongly Disagree,Strongly Disagree,,
2024-04-22 16:02:02,2024-04-22 16:23:40,100,1298,True,2024-04-22 16:23:41,R_3Squ9WgEApuR9mY,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6250 Financial Reporting & Analysis,ACC 679R Taxation of Business Entities II",4,5,1,7,6,3,2,8,,5,,4,,,,5,13,20,5,13,Yes,Yes,Agree,Disagree,Strongly Agree,,
2024-04-22 16:08:52,2024-04-22 16:25:16,100,984,True,2024-04-22 16:25:17,R_5Nq6Is8GSXYUscX,anonymous,EN,ACC 6560 Financial Accounting Theory & Research I,ACC 679R Taxation of Business Entities II,8,2,1,5,6,7,4,3,,,,,,,,5,2,8,1,3,Maybe,Yes,Agree,Strongly Disagree,Neither disagree or agree,,
2024-04-22 16:01:21,2024-04-22 16:34:22,100,1980,True,2024-04-22 16:34:22,R_1TnIj0Liy09bSYf,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6150 Information Systems Auditing,ACC 6600 Business Law for Accountants (if not taken as core)",7,4,2,6,8,3,5,1,,,3,,,,5,,15,20,6,15,Yes,Yes,Disagree,Neither disagree or agree,Agree,,
2024-04-22 16:15:18,2024-04-22 16:35:36,100,1217,True,2024-04-22 16:35:36,R_19g1XQ9mK1pTzs6,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems,ACC 6600 Business Law for Accountants","ACC 6250 Financial Reporting & Analysis,ACC 6350 Management Control System (if not taken as core)",7,2,3,4,8,5,6,1,,,,2,3,,,,15,21,6,14,Maybe,Yes,Disagree,Disagree,Disagree,,
2024-04-22 16:07:17,2024-04-22 16:38:02,100,1844,True,2024-04-22 16:38:02,R_5dY1egWLnFoL5KO,anonymous,EN,"ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6350 Management Control Systems","ACC 6140 Fraud Examination & Forensic Accounting,ACC 679R Taxation of Business Entities II",6,3,2,8,7,4,1,5,,2,,,,,,3,9,15,5,10,No,Yes,Disagree,Disagree,Disagree,,
2024-04-22 16:04:33,2024-04-22 16:41:51,100,2238,True,2024-04-22 16:41:52,R_5FUSkdmmQ3Oxsbr,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6020 Advanced Financial Application,ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing",4,1,2,6,7,3,5,8,5,4,5,,,,,,13,20,8,15,Maybe,Yes,Agree,Neither disagree or agree,Agree,,
2024-04-22 16:34:58,2024-04-22 16:58:26,100,1408,True,2024-04-22 16:58:27,R_22G8LwaDKekpaAr,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6140 Fraud Examination & Forensic Accounting,ACC 6150 Information Systems Auditing,ACC 6250 Financial Reporting & Analysis",3,2,4,6,7,5,1,8,,4,5,3,,,,,10,16,5,8,Yes,Yes,Neither disagree or agree,Neither disagree or agree,Agree,Regulation,
2024-04-22 16:37:15,2024-04-22 17:00:11,100,1376,True,2024-04-22 17:00:12,R_5m6vOPJ8XWwrNJL,anonymous,EN,"ACC 6060 Professionalism and Leadership,ACC 6300 Advanced Data Analytics,ACC 6400 Advanced Taxation of Business Entites,ACC 6510 Financial Auditing,ACC 6540 Professional Ethics,ACC 6560 Financial Accounting Theory & Research I,ACC 6350 Management Control Systems","ACC 6140 Fraud Examination & Forensic Accounting,ACC 679R Taxation of Business Entities II",6,3,1,5,4,2,8,7,,5,,,,,,3,6,12,4,10,Maybe,Yes,Agree,Agree,Neither disagree or agree,,
